model,n_runs,n_folds,epochs,time,size,train-acc,acc,prec,sens,spec,f1
h30GD,1,24,799.0,4.5152974128723145,,1.0,0.9513888888888888,0.9333333333333332,0.9722222222222222,0.9305555555555556,0.9523809523809524
linGDlr0.1,5,24,140.0,0.8378254771232605,,1.0,0.9569444444444444,0.9824046920821116,0.9305555555555556,0.9833333333333332,0.955777460770328
linAdamLr0.001bs12,5,24,90.0,1.4836655855178833,,1.0,0.9569444444444444,0.991044776119403,0.9222222222222224,0.9916666666666668,0.9553956834532374
linRprop,5,24,100.0,0.6589570641517639,,1.0,0.9708333333333332,0.9721448467966574,0.9694444444444444,0.9722222222222222,0.9707927677329624
h30GDlr0.1,5,24,330.0,1.8269407749176023,,1.0,0.9541666666666668,0.9455040871934604,0.9638888888888888,0.9444444444444444,0.9546079779917468
h30AdamBs12,5,24,130.0,2.411543130874634,,1.0,0.9513888888888888,0.940379403794038,0.9638888888888888,0.9388888888888888,0.9519890260631
hid30Rprop,5,24,50.0,0.3326417803764343,,1.0,0.9541666666666668,0.957983193277311,0.95,0.9583333333333334,0.9539748953974896
csp,5,24,60.0,0.16505712270736694,0.0,1.0,0.9777777777777777,0.967391304347826,0.9888888888888889,0.9666666666666667,0.978021978021978
cspAdam,5,24,175.0,0.27923405170440674,0.42500001192092896,1.0,0.9305555555555556,0.9813664596273292,0.8777777777777778,0.9833333333333333,0.9266862170087976
cspGD,5,24,750.0,0.8892271518707275,2.0,1.0,0.9444444444444444,0.99079754601227,0.8972222222222223,0.9916666666666667,0.9416909620991254
